epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.516,2.27372,2.21978,2.13462,0.56177,0.56,0.55157,0.25466,1.83857,1.79496,1.63027,0.000663805,0.000663805,0.000663805
2,183.859,2.10257,1.92563,1.94532,0.53105,0.5,0.51806,0.21107,1.98196,2.09222,1.64077,0.00124266,0.00124266,0.00124266
3,263.003,1.97975,1.79029,1.79407,0.67677,0.616,0.5924,0.24084,2.02385,1.69946,1.70847,0.00173352,0.00173352,0.00173352
4,342.944,1.86722,1.68919,1.69346,0.59801,0.588,0.57607,0.265,1.82124,1.67006,1.58734,0.001604,0.001604,0.001604
5,421.571,1.7674,1.6148,1.61193,0.68693,0.632,0.634,0.31724,1.67858,1.55,1.46638,0.001472,0.001472,0.001472
6,494.997,1.6446,1.63363,1.65251,0.72858,0.656,0.6628,0.38522,1.5617,1.46005,1.40462,0.00134,0.00134,0.00134
7,568.377,1.56577,1.54483,1.57511,0.76677,0.66,0.68994,0.38992,1.50578,1.48058,1.31606,0.001208,0.001208,0.001208
8,668.405,1.49495,1.46823,1.53052,0.82151,0.688,0.70901,0.44708,1.44433,1.35515,1.33772,0.001076,0.001076,0.001076
9,778.583,1.44787,1.39548,1.50897,0.74736,0.692,0.68949,0.43921,1.39541,1.33842,1.30811,0.000944,0.000944,0.000944
10,888.684,1.40566,1.37173,1.4703,0.82472,0.73402,0.71903,0.45506,1.34768,1.28525,1.28108,0.000812,0.000812,0.000812
11,1002.02,1.37082,1.34288,1.45348,0.78671,0.68,0.6959,0.45793,1.37311,1.29415,1.28285,0.00068,0.00068,0.00068
12,1120.94,1.32027,1.29312,1.42981,0.82726,0.70877,0.74729,0.50537,1.20936,1.20906,1.17651,0.000548,0.000548,0.000548
13,1234.85,1.26677,1.25015,1.3959,0.88047,0.708,0.74276,0.51301,1.26112,1.18595,1.18076,0.000416,0.000416,0.000416
14,1339.46,1.23988,1.20899,1.38044,0.86537,0.708,0.75828,0.52209,1.26288,1.17458,1.20714,0.000284,0.000284,0.000284
15,1440.04,1.20147,1.18169,1.36456,0.8722,0.70976,0.75164,0.53801,1.20882,1.12432,1.19273,0.000152,0.000152,0.000152
