epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1684,3.94928,4.0546,3.65835,0.05218,0.12637,0.01917,0.00325,3.59099,3.92709,2.88575,0.000663366,0.000663366,0.000663366
2,93.6898,3.09883,2.9794,2.90032,0.07081,0.11813,0.03843,0.00775,3.19221,3.28006,2.52207,0.00130809,0.00130809,0.00130809
3,133.396,2.8563,2.74489,2.6639,0.08063,0.18681,0.05268,0.01021,3.06567,3.57986,2.39165,0.00193081,0.00193081,0.00193081
4,174.798,2.62343,2.5445,2.50733,0.13609,0.30495,0.09029,0.02188,2.80419,3.41403,2.29702,0.001901,0.001901,0.001901
5,218.194,2.39798,2.32664,2.31183,0.21131,0.3544,0.15358,0.03672,2.73556,2.64792,2.13265,0.001868,0.001868,0.001868
6,264.104,2.2247,2.14604,2.18986,0.24695,0.40934,0.19869,0.05577,2.5908,2.42965,2.07827,0.001835,0.001835,0.001835
7,317.082,2.08974,2.00353,2.04472,0.2152,0.45604,0.17444,0.05143,2.59923,2.34137,2.16304,0.001802,0.001802,0.001802
8,365.065,1.98634,1.91359,1.96614,0.17787,0.51099,0.15274,0.04756,2.34027,2.56542,2.03028,0.001769,0.001769,0.001769
9,407.298,1.89899,1.84127,1.89651,0.24755,0.54945,0.21924,0.07116,2.27375,2.31977,1.88314,0.001736,0.001736,0.001736
10,449.587,1.84818,1.79112,1.83996,0.26181,0.54945,0.24907,0.08736,2.18236,2.30311,1.8894,0.001703,0.001703,0.001703
11,492.635,1.76267,1.70363,1.77615,0.27513,0.61264,0.3364,0.11926,2.12405,2.14997,1.88311,0.00167,0.00167,0.00167
12,535.097,1.71096,1.64285,1.72776,0.27065,0.51374,0.25956,0.08014,2.26847,2.26018,1.94119,0.001637,0.001637,0.001637
13,577.893,1.69068,1.63086,1.70686,0.35453,0.57418,0.33307,0.12702,1.96329,1.97721,1.819,0.001604,0.001604,0.001604
14,621.158,1.63457,1.58275,1.67035,0.43632,0.5522,0.38946,0.1558,1.89943,1.99118,1.76378,0.001571,0.001571,0.001571
15,664.605,1.62029,1.54388,1.65191,0.37323,0.57967,0.37654,0.15842,1.86983,1.94933,1.72099,0.001538,0.001538,0.001538
16,708.228,1.58971,1.49399,1.62397,0.43383,0.64416,0.40858,0.18293,1.8103,1.81568,1.69951,0.001505,0.001505,0.001505
17,752.151,1.55804,1.46202,1.58875,0.48857,0.61264,0.47411,0.21181,1.78452,1.77153,1.65647,0.001472,0.001472,0.001472
18,795.943,1.51854,1.44013,1.57062,0.47627,0.62637,0.49027,0.2251,1.74989,1.76578,1.66699,0.001439,0.001439,0.001439
19,839.849,1.50843,1.41955,1.54715,0.58604,0.61538,0.51507,0.2484,1.67031,1.65616,1.64359,0.001406,0.001406,0.001406
20,883.984,1.49458,1.41455,1.53662,0.63803,0.61264,0.56898,0.27773,1.64702,1.68329,1.61266,0.001373,0.001373,0.001373
21,927.832,1.45859,1.37322,1.51889,0.6175,0.64835,0.59629,0.33034,1.51968,1.56415,1.53894,0.00134,0.00134,0.00134
22,971.655,1.43697,1.357,1.50267,0.57918,0.66169,0.59333,0.31007,1.5289,1.56073,1.52579,0.001307,0.001307,0.001307
23,1015.77,1.41803,1.3274,1.4868,0.58831,0.58516,0.56544,0.30171,1.53134,1.589,1.55316,0.001274,0.001274,0.001274
24,1059.58,1.41429,1.30597,1.48111,0.71321,0.63187,0.62311,0.34695,1.49827,1.50463,1.53475,0.001241,0.001241,0.001241
25,1103.53,1.42061,1.31861,1.47923,0.70761,0.64286,0.6179,0.35929,1.47748,1.49023,1.46841,0.001208,0.001208,0.001208
26,1147.84,1.39151,1.28627,1.46133,0.73967,0.6511,0.6485,0.39941,1.37202,1.41226,1.41748,0.001175,0.001175,0.001175
27,1191.61,1.37581,1.27936,1.45013,0.69115,0.64286,0.6483,0.36535,1.45547,1.44573,1.47041,0.001142,0.001142,0.001142
28,1235.71,1.37892,1.27843,1.44521,0.72265,0.65385,0.64814,0.38473,1.41885,1.39221,1.46311,0.001109,0.001109,0.001109
29,1279.55,1.36526,1.26494,1.43793,0.77188,0.61813,0.64364,0.38894,1.38892,1.39553,1.45351,0.001076,0.001076,0.001076
30,1322.1,1.35132,1.23818,1.42064,0.77248,0.66209,0.67969,0.41108,1.34492,1.38202,1.41782,0.001043,0.001043,0.001043
31,1365.16,1.33492,1.23418,1.4163,0.77254,0.66484,0.68042,0.41822,1.34268,1.35315,1.42344,0.00101,0.00101,0.00101
32,1408.15,1.31034,1.21801,1.40114,0.76547,0.62912,0.66512,0.4046,1.33884,1.38556,1.42024,0.000977,0.000977,0.000977
33,1451.8,1.31393,1.2041,1.40775,0.78582,0.66209,0.67934,0.43725,1.3127,1.3396,1.39517,0.000944,0.000944,0.000944
34,1495.21,1.29703,1.18392,1.38389,0.76328,0.69094,0.70853,0.45017,1.28315,1.26183,1.3684,0.000911,0.000911,0.000911
35,1538.93,1.30199,1.18221,1.39525,0.77318,0.69505,0.70405,0.4659,1.23453,1.30134,1.34322,0.000878,0.000878,0.000878
36,1583.16,1.29805,1.18157,1.38786,0.8348,0.68132,0.72648,0.47417,1.24563,1.2687,1.34595,0.000845,0.000845,0.000845
37,1625.8,1.29072,1.16574,1.38153,0.86268,0.65586,0.72788,0.46835,1.2861,1.25686,1.38349,0.000812,0.000812,0.000812
38,1669.03,1.28671,1.16793,1.386,0.8058,0.67582,0.70804,0.46593,1.22134,1.21192,1.33063,0.000779,0.000779,0.000779
39,1712.17,1.2498,1.12601,1.3572,0.79468,0.67582,0.70531,0.44855,1.2236,1.23892,1.31145,0.000746,0.000746,0.000746
40,1755.55,1.24247,1.12314,1.35468,0.85766,0.67308,0.72645,0.4769,1.20399,1.2115,1.31419,0.000713,0.000713,0.000713
41,1798.77,1.24542,1.1184,1.34403,0.79713,0.67857,0.71645,0.46173,1.18113,1.18575,1.29208,0.00068,0.00068,0.00068
42,1841.49,1.23089,1.09754,1.33665,0.83379,0.68908,0.72155,0.47344,1.21584,1.2442,1.31604,0.000647,0.000647,0.000647
43,1884.55,1.23419,1.12103,1.34625,0.81469,0.67033,0.7272,0.48122,1.20313,1.20531,1.31088,0.000614,0.000614,0.000614
44,1927.85,1.22355,1.10188,1.3369,0.84016,0.68132,0.73034,0.49368,1.15349,1.15055,1.29188,0.000581,0.000581,0.000581
45,1971.28,1.2216,1.09284,1.33989,0.84557,0.67692,0.73583,0.47893,1.2342,1.1665,1.29784,0.000548,0.000548,0.000548
46,2015.15,1.1963,1.07881,1.32253,0.79799,0.69231,0.74877,0.50304,1.14805,1.12333,1.28255,0.000515,0.000515,0.000515
47,2060.06,1.20707,1.07311,1.32736,0.81851,0.68407,0.74535,0.51033,1.10782,1.11727,1.24666,0.000482,0.000482,0.000482
48,2103,1.20045,1.05632,1.31647,0.84025,0.67914,0.75882,0.51462,1.13597,1.10439,1.25909,0.000449,0.000449,0.000449
49,2146.87,1.20628,1.08269,1.32229,0.8408,0.67308,0.75037,0.51848,1.11075,1.10766,1.24868,0.000416,0.000416,0.000416
50,2190.14,1.17629,1.05034,1.29931,0.84881,0.69405,0.74917,0.50819,1.12681,1.10667,1.24745,0.000383,0.000383,0.000383
51,2235.02,1.12981,1.10729,1.34573,0.8736,0.68407,0.76188,0.5343,1.08736,1.07611,1.25288,0.00035,0.00035,0.00035
52,2272.99,1.11367,1.07388,1.32926,0.82422,0.71154,0.77523,0.53662,1.08477,1.07309,1.22563,0.000317,0.000317,0.000317
53,2311.26,1.09957,1.05579,1.32006,0.85459,0.69428,0.77453,0.5447,1.05804,1.05348,1.21565,0.000284,0.000284,0.000284
54,2349.57,1.07346,1.03675,1.30485,0.84901,0.6978,0.77305,0.548,1.06824,1.0553,1.21128,0.000251,0.000251,0.000251
55,2388.02,1.0735,1.03248,1.30701,0.87756,0.68918,0.77459,0.55644,1.0334,1.02181,1.2009,0.000218,0.000218,0.000218
56,2426.34,1.05096,1.00947,1.28623,0.86256,0.67857,0.77746,0.54843,1.0438,1.04698,1.20304,0.000185,0.000185,0.000185
57,2464.6,1.0427,1.00536,1.28989,0.88805,0.69737,0.77873,0.56569,1.02291,1.01807,1.18592,0.000152,0.000152,0.000152
58,2503.68,1.02439,0.9869,1.28112,0.88694,0.69231,0.78525,0.56898,1.02241,1.00269,1.19274,0.000119,0.000119,0.000119
59,2541.85,1.021,0.98879,1.27548,0.89076,0.69445,0.7822,0.56832,1.00044,0.99427,1.17895,8.6e-05,8.6e-05,8.6e-05
60,2580.73,1.00484,0.96787,1.2652,0.8799,0.69231,0.78129,0.57216,0.99411,0.98197,1.17529,5.3e-05,5.3e-05,5.3e-05
